EL ,Licensee ,Applic. date,Date of grant,Comments on Status as of 2012
609,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (551,700,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (one sub-standard report), Technical resources lacking. No tangible exploration, Transferred to Saba Saba with no exploration work undertaken, Annual mineral rent payment?"
608,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (528,600,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily, Technical resources lacking. No tangible exploration, Annual mineral rent payment?"
607,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (820,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Transferred to Saba Saba with no exploration work undertaken, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (one sub-standard report), Technical resources lacking. No tangible exploration, Annual mineral rent payment?"
606,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (648,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Transferred to Saba Saba with no exploration work undertaken, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No tangible exploration, Annual mineral rent payment?"
605,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (820,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Transferred to Saba Saba with no exploration work undertaken, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No significant exploration, Licensee holds several licenses like EL0603, 0604, 0605, 0606, 0607, 0608, 0609, 0610, 0612, 0611, 0620, 0621, Annual mineral rent payment?"
604,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (498,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file, no returns),Technical resources lacking. No tangible exploration, No notice of non-compliance. Licensee holds several licenses like EL0606, 0607, 0609, 0610, 0612, 0611, Transferred to Saba Saba (David Mutebi) with no exploration work undertaken, IOM writes on behalf of Commissioner,Annual mineral rent payment?"
603,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (528,600,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file, no returns), Technical resources lacking. No tangible exploration, No notice of non-compliance."
602,Terod Define Tec Eng Ltd,19-4-10,23-4-10,"No evidence of financial (1,333,400,000/=), technical and operational resources submitted. Not in gazette, Transferred to Elegant Resources Ltd with no exploration work undertaken (29th April 2010), Exp enditure and reporting conditions not complied with satisfactorily (empty file, no returns),Technical resources lacking. No tangible exploration, Annual surface rent is doubted whether paid. No notice of non-compliance."
600,Zamani Mining Ltd (David Mutebi),13-4-10,16-4-10,"No evidence of financial (US$ 607,600), technical and operational resources submitted. Not in gazette,Granted in three days, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Transferred with no exploration work undertaken., Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Assistant IOM signs for Commissioner"
601,Kasalirwe Fred,10/11/09,28-4-10,"No evidence of financial (163,550,000/=), technical and operational resources submitted. Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No evidence of paying annual mineral rent, IOM reviews geological reports, Delay in grant noted by Commissioner, IOM instructed to review and advise instead of PIM or SIM, No non-compliance notice."
598,Zaman Mining Ltd ,12/4/10,16-4-10,"No evidence of financial (203,200,000/=), technical and operational resources submitted. Not in gazette, Received by stamp of SMMRP, Granted in two days, Transferred with no exploration work undertaken. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Notice of non-compliance given by no response, Assistant IOM signs for Commissioner."
596,Mate Mines Ltd ,23-12-09,16-3-10,"Received by stamp of SMMRP, AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports"
597,Doher Industries Ltd ,15-3-10,22-4-10,"Samples at SGS (seems like a lie), No evidence of financial (US$ 306,375) ,technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Ac/Mines instruct IOM to review and advise. Dispute with Industrial Minerals Ltd. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No tangible exploration (AC/geology), In gazette"
595,Rift valley Investments Ltd (Joviah Akandwaho),2/12/09,22-4-10,"Description of project site poor, needs guideline. STAMP FROM DISTRICT IS THAT OF REGISTRY NOT CAO, Central registry Mpigi not Mubende. No evidence of financial (US$ 2,043,270) ,technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No tangible exploration, IOM review geological reports B29, Exploration program signed by CAO Mpigi, communicates IOM"
592,Who world Ltd ,17-2-10,6/4/10,"No evidence of financial (530,200,000/=) ,technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No tangible exploration, Transferred with no exploration undertaken. No activity no returns sign of lack technical resources."
561,Nelvo International Ltd ,21-1209,29-1-10,"Received by SMMRP stamp. No evidence of financial (874,000,000/=) ,technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Notice of noncompliance given, Some comments ignored. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No tangible exploration"
570,Heer Distributors Ltd (Hitesh Patel),6/1/10,15-2-10,"Granted by IOM, IOM reviews geological reports instead of AC/Geology, AC/Geology should follow standard procedure of segregating duties, No evidence of financial, technical and operational resources submitted. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No tangible exploration, Not in gazette"
571,Heer Distributors Ltd (Hitesh Patel),6/1/10,15-2-10,"SGS samples with no export permit, No evidence of financial (620,000,000/=) ,technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, No noncompliance notice. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking. No tangible exploration, Review of work program needs guideline. Each Geologist has divergent views."
562,Fergie Minerals & Metals Ltd (Pravin Ghelan),6/1/10,29-1-10,"SMMRP Stamp used to receive application, SGS samples with no export permit, No evidence of financial (873,920,000), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Verbal communication cited to licensee. Duplication of results cited (PIM), Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration, Review of work program needs guideline. (SG/Remote Sensing)"
563,Fergie Minerals & Metals Ltd (Pravin Ghelan),22-12-09,29-1-10,"No evidence of financial (873,920,000), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration, Review of work program needs guideline. (SG/Petrology)"
588,Fergie Minerals & Metals Ltd (Pravin Ghelan),8/1/10,28-1-10,"In gazette, No evidence of financial, technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration, Review of work program needs guideline. (SG/Remote sensing)"
560,Nelvo International Ltd (Pravin Ghelan),21-12-09,29-1-10,"Description of environment not good need for guideline, No evidence of financial (845,950,000/=), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Samples are at SGS but no export permit, Letter of good standing given to licensee, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration (AC/Geology), Non-Compliance by PIM no change, IOM meets legal requirements despite omissions like financial and technical resources evidence"
586,AB Mining (Akoi Joy) ,15-1-10,3/3/10,"Description of environment not good need for guideline, No evidence of financial (720,000US$), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Letter of good standing given to licensee, Holds several licences like EL0308, 309, 310, 328, 357, 358, 359, 369, 631, 586, 585, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration, Non-Compliance,  IOM meets legal requirements despite omissions like financial and technical resources evidence."
587,Mate Mines Ltd,23-12-09,26-3-10,"No evidence of financial (50,000,000/=), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (empty), Technical resources lacking generally judging from returns. No tangible exploration since march 2010, AC/mines instructs IOM to review and advise instead of PIM or SIM, No notice of non-compliance"
589,Baract Minerals Ltd,10/2/10,6/4/10,"Incomplete application form, Environmental details too brief need for a guideline, No evidence of financial (50,000,000/=), technical and operational resources submitted. Amount committed on application form are different from those on work program. AC/Geology should follow standard procedure of segregating duties, Not in gazette, No exploration work undertaken but transferred to AVR Eng. & Infrastructure Ltd (Pravin Ghelan), Samples are at SGS but no export permit how did they go. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration"
,Fergie Minerals & Metals Limited (Ghelan Pravin),29-1-10,18-3-10,"PIM signs for commissioner, No evidence of financial (576,916,000/=), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration"
590,Baract Minerals Ltd,10/2/10,6/4/10,"Incomplete application form, Environmental details too brief need for a guideline, No evidence of financial (680,000,000), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, No exploration work undertaken but transferred to AVR Eng. & Infrastructure Ltd (Pravin Ghelan), Samples are at SGS but no export permit how did they go. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration"
581,Nelvo INTERNATIONAL Ltd (Pravin Ghelan),29-1-10,18-3-10,"PIM signs for commissioner, No evidence of financial (303,640US$), technical and operational resources submitted. AC/Geology should follow standard procedure of segregating duties, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration"
580,Doher Industries Ltd (Pravin Ghelan),27-1-10,18-3-10,"Samples are at SGS but no permission to export rock samples, how were they exported. Verbal communication of non-compliance noticed to licensee, No evidence of financial (701,750,000/=), technical and operational resources submitted. Laboratory attendant signs as Ag. Principal Chemist, AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration, Not in gazette, Noncompliance notice given from geology no reply, Technical query from Geology Division ignored."
579,Doher Industries Ltd (Pravin Ghelan),27-1-10,18-3-10,"No evidence of financial (701,750,000/=), technical and operational resources submitted. Laboratory attendant signs as Ag. Principal Chemist, AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration, Not in gazette, Noncompliance notice given from geology no reply."
577,Shivj Gangji & Sons,23-12-09,5/3/10,"Evidence of financial (one billion UGX), technical and operational resources submitted. Laboratory attendant signs as Ag. Principal Chemist, AC/Geology should follow standard procedure of segregating duties, No activity since march 2010, No notice of non-compliance, Expenditure and reporting conditions not complied with satisfactorily (empty), Technical resources lacking generally judging from returns. No tangible exploration, Not in gazette, Only applicant asked evidence of financial resources"
575,Megha Minerals & Mines Ltd ,20-1-10,18-2-10,"Granted by IOM, No notice to gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Senior Geologist too rigorous in reviewing work program (guidelines need to be set out), AC/Geology should follow standard procedure of segregating duties, No satisfactorily work due to lack of technical resources. No notice of non-compliance."
574,Mineral Research and Mines Ltd ,5/1/10,5/3/10,"No evidence of financial (450,000,000/=), technical and operational resources, Not in gazette, AC/Geology should follow standard procedure of segregating duties, AC/Mines instruct IOM to review instead of PIM or SIM. Expenditure and reporting conditions not complied with satisfactorily (empty), Technical resources lacking generally judging from returns. No tangible exploration, Ag. SG/remote sensing reviewed work program, there should be a committee for reviewing work program.  "
573,Nelvo International Ltd ,20-1-10,25-2-10,"No evidence of financial (256,600,000/=), technical and operational resources (speculating), Not in gazette, AC/Mines instruct IOM to review instead of PIM or SIM. Expenditure and reporting conditions not complied with satisfactorily (empty), Technical resources lacking generally judging from returns. No tangible exploration"
565,Doher Industries Ltd ,,,"No evidence of financial (732,580,000/=), technical and operational resources (speculating), Not in gazette, Ag. PIM signs for commissioner, AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking generally judging from returns. No tangible exploration  "
569,Nelvo International Ltd (Pravin Ghelan),23-12-09,1/1/10,"No evidence of financial (732,580,000/=), technical and operational resources (speculating),Not in gazette, Ag. PIM signs for commissioner, Verbal communication to EL holder noted. Sample sent to SGS without export permit, AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), There is not standard procedure of assessing application (Geology signature?? Fred Kigereigu), Technical resources lacking generally judging from returns. No tangible exploration"
572,Nelvo International Ltd (Pravin Ghelan),20-1-10,25-2-10,"No evidence of financial (234,200,000/=), technical and operational resources (speculating), Not in gazette, Sample sent to SGS without export permit, AC/Geology should follow standard procedure of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), There is not standard procedure of assessing application (Geology signature?? Could it be Annette Tumwine), Technical resources lacking generally judging from returns. No tangible exploration"
583,Doher Industries Ltd (Pravin Ghelan),21-12-09,29-1-10,"No name of Directors on application form, No evidence of financial (1,966,275US$), technical and operational resources, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), There is not standard procedure of assessing application (Geology signature?? Could it be Annette Tumwine), Technical resources lacking generally judging from returns."
564,Esta Industries Ltd (Pravin Ghelan),9/1/10,28-1-10,"No evidence of financial (195,100,000 UGX), technical and operational resources, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), There is not standard procedure of assessing application (Geology signature??), Technical resources lacking generally judging from returns."
,Kweri Limited (David Kyagulanyi),5/2/09,13-5-09,"Not in gazette, No evidence of financial (1,375,000,000UGX), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily, AC/Geology should follow standard procedure of segregating duties"
446,NPK Resources Ltd (Natahan Walokawu),4/12/08,13-5-08,"No evidence of financial (244.5 Million UGX), technical and operational resources, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (empty file), Non performance, AC/Geology should follow standard procedure of segregating duties. No non-compliance notice"
447,Moonster Minerals Ltd (Chinese),21-1-09,25-5-09,"AC/Geology should follow standard procedure of segregating duties, AIOM sign for commissioner, Expenditure and reporting conditions not complied with satisfactorily (empty file), No evidence of financial (538,550,000/=), technical and operational resources, Not in gazette, Non performance, No non-compliance notice"
,Mota Mining Ltd,15-6-09,8/10/09,"AC/Geology should follow standard procedure of segregating duties, AIOM sign for commissioner, Expenditure and reporting conditions not complied with satisfactorily, No evidence of financial (242,200,000/=), technical and operational resources, Not in gazette"
521,Mota Mining Ltd ,15-6-09,8/10/09,"AC/Geology should follow standard procedure of segregating duties. Not in gazette, Expenditure and reporting conditions not complied with satisfactorily, No tangible exploration work (lack of technical resources), Transferred to Zamani Mining Ltd, no in gazette, No notice of non-compliance, Transferred to Zamani Mining Ltd, no in gazette, No evidence of financial, technical and operational resources"
432,Dome Mines Ltd (Voormej),13-1-09,26-3-09,"Not in gazette, No evidence of financial (1 million US$), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (SUB-STANDARD REPORTS), No tangible exploration work (lack of technical resources), No notice of non-compliance, AC/Geology should follow standard procedure of segregating duties."
433,Dome Mines Ltd,13-1-09,23-2-09,"In gazette, No evidence of financial (1 million US$), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (SUB-STANDARD REPORTS), No tangible exploration work (lack of technical resources), AC/Geology should follow standard procedure of segregating duties. No notice of non-compliance"
530,Femet Uganda Ltd (Jimmy Katumba),1/10/09,12/10/09,"No evidence of financial (520,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty files), Not in gazette, No notice of non-compliance, AC/Geology should follow standard procedure of segregating duties. No active exploration going by any standard"
531,Lithos Uganda Ltd,1/10/09,12/10/09,"Incomplete application form, No names of Directors / nationality, No evidence of financial (320,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty files), Not in gazette, No notice of non-compliance, AC/Geology should follow standard procedure of segregating duties. No active exploration going by any standard"
529,Femet Uganda Ltd (Katumba Jimmy),1/10/09,,"Incomplete application form, No names of Directors / nationality, Exploration program authored from DGSM, No evidence of financial (320,000,000/=), technical and operational resources, Not in gazette, No notice of non-compliance, Transferred to Krishna Mining Company Ltd,  Expenditure and reporting conditions not complied with satisfactorily (sub-standard work), AC/Geology should follow standard procedure of segregating duties. No active exploration going by any standard"
528,Lithos Uganda Ltd,30-9-09,8/10/09,"Incomplete application form, No names of Directors / nationality, No evidence of financial (320,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty files), Not in gazette, No notice of non-compliance, AC/Geology should follow standard procedure of segregating duties. No active exploration going by any standard"
527,Lithos Uganda Ltd,30-9-09,8/10/09,"Incomplete application form, No names of Directors / nationality, No evidence of financial (420,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty files), Not in gazette, No notice of non-compliance, AC/Geology should follow standard procedure of segregating duties. No active exploration going by any standard"
526,Lithos Uganda Ltd,30-9-09,12/10/09,"Incomplete application form, No names of Directors / nationality, No evidence of financial (520,000,000/=), technical and operational resources, No evidence of financial (520,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty files), Not in gazette, No notice of non-compliance, AC/Geology should follow standard procedure of segregating duties. No active exploration going by any standard."
420,Flemish Investment Ltd (Bruce Douglas Milne),15-12-08,3/3/09,"Satisfactorily work, Not in gazette, Transferred to Pearl Mining (U) Ltd, Annual rental need to be checked. No evidence of financial, technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily by new rights holder, No non-compliance notice."
439,Aluminum Bauxite Mining Company (U) Ltd (Bugasha Yusufu),29-1-09,25-3-09,"Incomplete form, No evidence of financial (US$ 346,278.57/=), technical and operational resources, Not in gazette, AC/Geology should follow standard procedure of segregating duties. No non-compliance notice, Expenditure and reporting conditions not complied with satisfactorily (SUB-STANDARD reports)"
524,Litho Uganda Ltd,,8/10/09,"Director’s names not given. Incomplete form, No evidence of financial (420,000,000/=), technical and operational resources, Not in gazette, AC/Geology should follow standard procedure of segregating duties. No non-compliance notice, Expenditure and reporting conditions not complied with satisfactorily (no reports or returns)"
193,Fergie Minerals & Metals (Pravin Ghelan),9/5/07,14-507,"No evidence of financial (289,900,000/=), technical and operational resources, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Lab results lack authenticity, Renewal with no final technical report and justification."
296,General Purpose Ltd,14-9-07,8/4/08,"No evidence of financial (289,900,000/=), technical and operational resources, Not in gazette, Renewed despite lack of final technical report and justification, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No notice of non-compliance"
293,Pick fare Industries Ltd,28-1-08,19-3-08,"Not in gazette, No evidence of financial, technical and operational resources, No notice of non-compliance, Renewed, Objection by AC/geology ignored B35"
287,Doher Industries Ltd (Pravin Ghelan),8/2/08,19-2-08,"No evidence of financial, technical (administrators, drivers, field assistants and directors) and operational resources, Technical resource missing as per returns. Not in gazette, Lab results lack authenticity from SEAMIC, Renewed despite no active exploration and justification, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Not in gazette, No notice of non-compliance, Renewed based on sub-standard reports."
191,Carnegie Minerals Ltd ,25-4-11,22-5-07,"No evidence of financial (886,502,520/=), technical and operational resources, Not in gazette, With no exploration work undertaken at all transferred to Busitema Mining Cie, No work again, Renewed despite no active exploration and justification, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Not in gazette, No notice of non-compliance"
188,Elegant Resources Ltd,,,"No evidence of financial, technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Not in gazette, No notice of non-compliance"
264,Esta Industries Ltd,15-10-07,10/12/07,"No evidence of financial (1,440,000,000/=), technical and operational resources, Incomplete application form, No date on applicant signature, In gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Non-compliance notice given, Holds several licences EL0264, 0265, 0276, Laboratory reports not authenticable, Not technical person on ground (Directors, Administrators, Field Assistant and Driver), no geologist mentioned. Renewal granted despite sub-standard work, Geology concerns ignored (B54, B49, B51)"
225,Flemish Investment Ltd ,10/7/07,14-11-07,"Satisfactory exploration work, No evidence of financial, technical and operational resources, Incomplete application form, Not in gazette, Transferred to Oryx Minerals Ltd, Comply with expenditure and reporting conditions satisfactorily. SGS Mineralogical report, Renewed. Returns submitted."
200,Elegant Resources Ltd (Vol. 2) ,,,"Returns not signed, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No evidence of financial, technical and operational resources, Not in gazette, No notice of non-compliance."
199,African Minerals Fields,10/4/07,25-7-07,"Not in gazette, No evidence of financial, technical and operational resources, Transferred to Kamukamu Drilling Experts Ltd with no exploration undertaken, Involved in civil suit, Transferred to Saba Saba Mining Ltd, No reports between these transactions, Application for renewal lacks justification, renewed, Transferred Elegant Resources, No activity, No notice of non-compliance, AC/mines delegates IOM in favour of PIM or SIM."
70,Roraima (U) Ltd,7/12/05,30-12-05,"No evidence of financial, technical and operational resources, In gazette, Transferred to Roraima Mining Company with no exploration undertaken, New rights holder did some work, coring, Not in gazette new rights holder, No notice of non-compliance, Renewed but not expenditure and reporting conditions not complied with satisfactorily, Annual rental fees paid. No notice of non compliance."
69,Roraima (U) Ltd ,7/12/05,30-12-05,"No evidence of financial (1,426,000,000/=), technical and operational resources, In gazette, Transferred with no exploration undertaken, New rights holder did some work, coring, Not in gazette new rights holder, No notice of non-compliance, Renewed but not expenditure and reporting conditions not complied with satisfactorily"
218,Flemish Investment Ltd ,17-12-07,22-1-08,"No evidence of financial, technical and operational resources, Conditions of the license have been satisfactorily complied with. Transferred to Oryx Minerals Ltd. Not in gazette"
8,Uganda Mineral Traders & Exporters Ltd (Rashid Reich Baziwe),25-1-05,18-3-05,"Exploration program lacks detail, Not in gazette, No evidence of financial (US$ 200,000), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). Transferred with no exploration undertaken to Master Prospecting Ltd, Expenditure and reporting conditions not complied with satisfactorily by Master Prospecting Ltd (sub-standard reports), not also put EL in gazette. Renewed with no final report showing what has been done (justification lacking), Transferred to Busitema Mining Cie Ltd, renewed again with no justification, not in gazette. Commissioner notes speculation and queries shape of EL, Annual rent need to be checked. No notice of non-compliance."
416,Gold Search Technical Services (Private) Ltd ,26-11-08,9/2/09,"Lacks financial (708,450,000/=) and technical resources evidence, Gazette notice ignored, AC/Geology does work for company and files it R4 (Conflict of interest), Transferred with no significant activity, Authenticity of results from labs"
31,Rwenzori Copper & Nickel Ltd ,,,"Exploration program was not review by Geology Division, Evidence of non-performance. No evidence of financial (US$ 200,000), technical and operational resources. Grant of EL was rushed raising suspicion of conflict of interest, Annual rentals not clear. Not in gazette.  Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports)."
653,African Metals Ltd (Russians) ,17-3-10,12-7=10,"Gazette notice not complied with. Transferred to First Mining Company with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (US$500,000) technical and operational resources, Ag. PIM signs licence. No notice non-compliance, empty file."
,East African Mineral Exploration Ltd ,2/6/10,12/7/10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,146,254,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). Notice of non-compliance by Ag.PIM with no reply."
655,East African Mineral Exploration Ltd,2/6/10,12/7/10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,096,254,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
656,East African Mineral Exploration Ltd (Kibugo Fred),2/6/10,12/7/10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,096,254,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
657,East African Mineral Exploration Ltd (Kibugo Fred),2/6/10,12/7/10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,730,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
658,Kweri Limited ,6/5/10,12/7/10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,325,000,000/=), technical and operational resources, IOM instructs AC/Geology to review"
659,Sunder Walla,,12/7/10,"Application not stamped by DGSM, Not gazetted, AC/Geology should segregate duties, No evidence of financial (336,850,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (Empty file). No notice non-compliance, Geology Division has no standard guideline to review work program and this affects applicants."
660,Heer Distributors Ltd ,26-5-10,21-7-10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (465,300,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance, IOM instructs AC/Geology to review."
661,Alta Vista Ltd (Masete Simon & Lusala Edward),13-5-10,22-7-10,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,096,254,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
742,Berkeley Reef Ltd (Richard Kaijuka),2/7/10,4/4/11,"Stamp looks not genuine, Not gazetted, AC/Geology should segregate duties, No evidence of financial (252,600,000/=), technical and operational resources, Transferred with no exploration activity undertaken, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance, AC/mines instruct IOM to review instead of PIM or SIM."
743,Berkeley Reef Ltd (Richard Kaijuka),2/7/10,4/4/11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (198,200,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). Transferred with no exploration activity undertaken, No notice non-compliance"
744,Baracat (U) Minerals Ltd 9Siraj Myenye Bukenya) ,21-5-10,30-5-10,"Exploration program lacks detail. Not gazetted, AC/Geology should segregate duties, Ag. PIM granted Licence, No evidence of financial (480,350,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
746,Strategic Minerals Company Limited ,14-2-11,1/4/11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (700,000,000/= & US& 3 MILLION), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
747,Strategic Minerals Company Limited,22-2-11,1/4/11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (US$ 3 million), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
748,Strategic Minerals Company Limited (Azim Nathan),22-2-11,1/4/11,"Not gazette, Ag. PIM grants Licence. Assistant IOM signs on behalf of Commissioner. Geology query ignored by Mines. No evidence of financial (US$ 3 MILLION), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
749,Strategic Minerals Company Limited (Azim Nathan),14-2-11,1/4/11,"Not gazetted, No evidence of financial (US$ 3 MILLION), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance, Who directs file to AC/geology?"
